"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"bopps:Observation_Parameters:1        ","Class","Observation_Parameters","1.0","bopps","Contains all the parameters for the observation.","sbn","","","","","","","","","","",""
"bopps:Observation_Parameters:2         bopps:spacecraft_clock_start_count:1  ","Attribute","spacecraft_clock_start_count","n/a","bopps"," The observation start time measured in seconds from January 1, 1970 00:00:00, Unix Epoch time. The spacecraft_clock_start_count is the same value for all image frames created by a single start_observation command. ","sbn","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","17","17","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"bopps:Observation_Parameters:2         bopps:spacecraft_clock_stop_count:1   ","Attribute","spacecraft_clock_stop_count","n/a","bopps"," The observation stop time measured in seconds from January 1, 1970 00:00:00, Unix Epoch time. The observation stop time is measured at the end of the integration time for an individual image frame. For a data product that is the result of two or more image frames it is the start of the integration time of the first signal frame in the time ordered list of frames. ","sbn","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","17","17","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"bopps:Observation_Parameters:2         bopps:total_integration_time:1        ","Attribute","total_integration_time","n/a","bopps"," The total integration time for a single image. For a bias-subtracted image product it is the total integration time for the signal frame. For a product that is the result of more than one bias-signal frame pair it is the integration time of the entire set of images. The bias frame always has an integration time of 3ms. ","sbn","ASCII_Real","1","1","3","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Time","none","TBD_classConcept","REAL"
"bopps:Observation_Parameters:2         bopps:average_dn_for:1                ","Attribute","average_dn_for","n/a","bopps"," Average pixel value of the BIRC field of regard in DN. ","sbn","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"bopps:Observation_Parameters:2         bopps:average_e_for:1                 ","Attribute","average_e_for","n/a","bopps"," Average pixel value of the BIRC field of regard in electrons. ","sbn","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"bopps:Observation_Parameters:2         bopps:max_average_dn_for:1            ","Attribute","max_average_dn_for","n/a","bopps"," Maximum average pixel value of the BIRC field of regard in DN out of the set of images used to generate this data product. ","sbn","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"bopps:Observation_Parameters:2         bopps:min_average_dn_for:1            ","Attribute","min_average_dn_for","n/a","bopps"," Minimum average pixel value of the BIRC field of regard in DN out of the set of images used to generate this data product. ","sbn","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"bopps:Observation_Parameters:2         bopps:max_average_e_for:1             ","Attribute","max_average_e_for","n/a","bopps"," Maximum average pixel value of the BIRC field of regard in electrons out of the set of images used to generate this data product. ","sbn","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"bopps:Observation_Parameters:2         bopps:min_average_e_for:1             ","Attribute","min_average_e_for","n/a","bopps"," Minimum average pixel value of the BIRC field of regard in electrons out of the set of images used to generate this data product. ","sbn","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"bopps:Observation_Parameters:2         bopps:filter:1                        ","Attribute","filter","n/a","bopps"," The number associated with a given wavelength filter on the filter wheel. ","sbn","ASCII_Integer","1","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"bopps:Observation_Parameters:2         bopps:filter:2                         Value:1","Value","1","","","filter 1: R-band filter"
"bopps:Observation_Parameters:2         bopps:filter:2                         Value:2","Value","2","","","filter 2: 4.6 micron filter"
"bopps:Observation_Parameters:2         bopps:filter:2                         Value:3","Value","3","","","filter 3: 4.0 micron filter"
"bopps:Observation_Parameters:2         bopps:filter:2                         Value:4","Value","4","","","filter 4: 4.27 micron filter"
"bopps:Observation_Parameters:2         bopps:filter:2                         Value:5","Value","5","","","filter 5: 2.7 micron filter"
"bopps:Observation_Parameters:2         bopps:filter:2                         Value:6","Value","6","","","filter 6: 2.47 micron filter"
"bopps:Observation_Parameters:2         bopps:filter:2                         Value:7","Value","7","","","filter 7: 3.2 micron filter"
"bopps:Observation_Parameters:2         bopps:filter:2                         Value:8","Value","8","","","filter 8: 3.2 micron filter"
"bopps:Observation_Parameters:2         bopps:filter:2                         Value:9","Value","9","","","filter 9: 3.05 micron filter"
"bopps:Observation_Parameters:2         bopps:filter_wavelength:1             ","Attribute","filter_wavelength","n/a","bopps"," Wavelength corresponding to the filter number preceding this attribute, typically given in microns ","sbn","ASCII_Real","1","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Length","none","TBD_classConcept","REAL"
"bopps:Observation_Parameters:2         bopps:product_type:1                  ","Attribute","product_type","n/a","bopps"," The type of product generated: RAW, BIAS_SUBTRACTED, CALIBRATED, SHIFTED, COADDED, FLATFIELD, RELAYS, TEMPS ","sbn","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"bopps:Observation_Parameters:2         bopps:product_type:2                   Value:BIAS_SUBTRACTED","Value","BIAS_SUBTRACTED","","","Denotes the product as the result of the signal frame subtracted from the bias frame. This ordering of the subtraction results in an image where higher DN values indicate more signal."
"bopps:Observation_Parameters:2         bopps:product_type:2                   Value:CALIBRATED","Value","CALIBRATED","","","Denotes the product as a bias subtracted image that has been calibrated."
"bopps:Observation_Parameters:2         bopps:product_type:2                   Value:COADDED","Value","COADDED","","","Denotes the product as the summed average of a sequence of calibrated images without being shifted in pixel space."
"bopps:Observation_Parameters:2         bopps:product_type:2                   Value:FLATFIELD","Value","FLATFIELD","","","The associated product contains a flat field observation."
"bopps:Observation_Parameters:2         bopps:product_type:2                   Value:RAW","Value","RAW","","","Denotes the product as the raw single frame image. In a raw single frame image lower DN values indicate more signal."
"bopps:Observation_Parameters:2         bopps:product_type:2                   Value:RELAYS","Value","RELAYS","","","Product is an ASCII table containing relay and cyro cooler pressure reported by the BIRC instrument. "
"bopps:Observation_Parameters:2         bopps:product_type:2                   Value:SHIFTED","Value","SHIFTED","","","Denotes the product as the summed average of a sequence of calibrated images that have been shifted in pixel space such that each pixel is spatially co-located to the same region of the sky."
"bopps:Observation_Parameters:2         bopps:product_type:2                   Value:TEMPS","Value","TEMPS","","","Product is an ASCII table containing the temperature values reported by the BIRC instrument. "
"bopps:Observation_Parameters:2         bopps:observation_description:1       ","Attribute","observation_description","n/a","bopps"," General description of the observation. May include target name and a short description of observation goals. For example, ""Vesta target aquisition"". ","sbn","ASCII_Short_String_Preserved","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"bopps:Observation_Parameters:2         bopps:pointing_description:1          ","Attribute","pointing_description","n/a","bopps"," General description of the type of target pointing at the time of the observation. For example, ""finding target"" describes the telescope being panned in several directions in order to aqcuire the target and center it in the field of view. ""target acquired"" describes the telescope control such that it tries to minimize the drift error between the commanded and measured azimuth and elevation. ","sbn","ASCII_Short_String_Preserved","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"bopps:Observation_Parameters:2         bopps:centx:1                         ","Attribute","centx","n/a","bopps"," No definition supplied. ","sbn","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"bopps:Observation_Parameters:2         bopps:centy:1                         ","Attribute","centy","n/a","bopps"," No definition supplied. ","sbn","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"bopps:Instrument_Temperature:1        ","Class","Instrument_Temperature","1.0","bopps","Describes the temperatures measured by various sensors.","sbn","","","","","","","","","","",""
"bopps:Instrument_Temperature:2         bopps:measured_at:1                   ","Attribute","measured_at","n/a","bopps"," The name of the sensor which is providing the measurement. ","sbn","ASCII_Short_String_Preserved","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"bopps:Instrument_Temperature:2         bopps:temperature:1                   ","Attribute","temperature","n/a","bopps"," The calibrated temperature value measured by the sensor. ","sbn","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Temperature","none","TBD_classConcept","REAL"
"bopps:Instrument_Temperature:2         bopps:min_temperature:1               ","Attribute","min_temperature","n/a","bopps"," The minimum calibrated temperature value measured by the sensor. ","sbn","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Temperature","none","TBD_classConcept","REAL"
"bopps:Instrument_Temperature:2         bopps:max_temperature:1               ","Attribute","max_temperature","n/a","bopps"," The maximum calibrated temperature value measured by the sensor. ","sbn","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Temperature","none","TBD_classConcept","REAL"
"bopps:Telescope_Geometry:1            ","Class","Telescope_Geometry","1.0","bopps"," Contains information about the position and orientation of the telescope calculated at spacecraft_clock_read_time. ","sbn","","","","","","","","","","",""
"bopps:Telescope_Geometry:2             bopps:gondola_latitude:1              ","Attribute","gondola_latitude","n/a","bopps"," The latitude of the gondola reported by the on-board GPS receiver in degrees. ","sbn","ASCII_Real","1","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"bopps:Telescope_Geometry:2             bopps:gondola_longitude:1             ","Attribute","gondola_longitude","n/a","bopps"," The longitude of the gondola reported by the on-board GPS receiver in degrees. ","sbn","ASCII_Real","1","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"bopps:Telescope_Geometry:2             bopps:gondola_altitude:1              ","Attribute","gondola_altitude","n/a","bopps"," The altitude of the gondola reported by the on-board GPS receiver in kilometers. ","sbn","ASCII_Real","1","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Length","none","TBD_classConcept","REAL"
"bopps:Telescope_Geometry:2             bopps:ra_cmd:1                        ","Attribute","ra_cmd","n/a","bopps"," The commanded Right Ascension (RA) to point the telescope boresight. ","sbn","ASCII_Real","1","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"bopps:Telescope_Geometry:2             bopps:dec_cmd:1                       ","Attribute","dec_cmd","n/a","bopps"," The commanded Declination (DEC) to point the telescope boresight. ","sbn","ASCII_Real","1","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
